Slno,Data Center Name,Company Name,URL to Website,Address,Postal,City,Market,State,Country,Power (MW),Tier Design,Whitespace
16,CtrlS Bangalore DC1,CtrlS Datacenters Pvt Ltd,https://www.ctrls.com/,"Veer Sandra, Electronic City,560100 Bengaluru,Karnataka, India",560100 ,Bengaluru,Bangalore,Karnataka,India,12,Tier 4,"106,536 sq. ft."
17,Cyfuture Bangalore Data Center,Cyfuture Data Center,https://cyfuture.com/,"Akshaya Commercial Complex, Sri Thyagi M Palanivelu Rd, Vicoria Layout,Bengaluru,560047 Bangalore,India",560047 ,Bengaluru,Bangalore,Karnataka,India,3,Tier 3,185 sq. m.
18,Data Samudra,Data Samudra Data Centre Services,https://www.teleindianetworks.com/,"KIADB IT Park, Mahadeva Kodigehalli,562149 Bangalore,Karnataka, India",562149 ,Bengaluru,Bangalore,Karnataka,India,2,Tier 3,"19,000 sq. ft."
19,DataSamudra,TeleIndia Networks Private Limited,https://datasamudra.com/,"#85, Road No. 9, KIADB IT Park,562149 Mahadeva Kodigehalli,India",562149,Mahadeva Kodigehalli,Bangalore,Karnataka,India,Not Specified,Tier 3,"1,766 sq. m."
20,ESDS Bengaluru DC,ESDS Software Solution Pvt. Ltd.,https://www.esds.co.in/,"No. 76, 77 & Part 78, Electronic City,560100 Bengaluru,India",560100 ,Banagalore,Bangalore,Karnataka,India,Not Specified,Tier 3,Not Specified
21,GDC - Bengaluru 2 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Plot 88/A S V R Platinum, Electronic City Phase 1,560100 Karnataka,India",560100,Bengaluru,Bangalore,Karnataka,India,4.5,Not Specified,"4,000 sq. m."
22,GDC - Bengaluru 3 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Survey No. 146, Kajisonnenehali Village, Bidrahalli,560067 Bengaluru,India",560067,Bengaluru,Bangalore,Karnataka,India,12,Not Specified,"5,800 sq. m."
23,GDC - Bengaluru 4 Data Center,"NTT DATA, Inc.",https://services.global.ntt/en-,"Prestige Tech Cloud, Navarathna Agrahara, Bengaluru,562110 Bengaluru,India",562110 ,Bengaluru,Bangalore,Karnataka,India,67.2,Tier 3,"17,000 sq. m."
24,Go4Hosting Bengaluru,Go4Hosting,https://go4hosting.in/,"Akshaya Commercial Complex, No. 26/16, Victoria Road, Austin Town,2nd floor,560047 Bengaluru,Karnataka, India",560047,Bengaluru,Bangalore,Karnataka,India,40,Not Specified,Not Specified
25,ITI Limited Data Center,ITI Limited,https://www.itiltd.in/,"F-86, Bangalore Plant,560016 Dooravani Nagar,Karnataka, India",560016 ,Dooravani Nagar,Bangalore,Karnataka,India,6,Tier 3,18580 sq. m.
26,Iron Mountain Data Centers BLR-1,Iron Mountain Data Centers,https://www.ironmountain.com/,"564 Pattandura Agrahara Main Road Whitefield,560048 Bengaluru,India",560048,,Bangalore,Karnataka,India,4,Tier 3,"80,000 sq. ft."
27,LNT BLR 1,L&T Cloudfiniti,https://lntcloudfiniti.com/,"within the Whitefield area of Bengaluru,560066 Bengaluru,India",560066,Banagalore,Bangalore,Karnataka,India,40,Not Specified,Not Specified
28,LNT BLR 1,L&T Cloudfiniti,https://larsentoubrovyoma.com/,"within the Whitefield area of Bengaluru,560066 Bengaluru,India",560066 ,Bengaluru,Bangalore,Karnataka,India,40,Not Specified,Not Specified
